date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:34:29	222712/222712	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e3351db-365f8%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.eot?v=1.5.54	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/SKR/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.eot	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
17:34:29	85332/85332	---M--	200	added ('OK')	font/woff2	etag:%225e3351db-14d54%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.woff2?v=1.5.54	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/SKR/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.woff2	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
17:34:34	222712/222712	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e3351db-365f8%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.eot?	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/SKR/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfontd41d.eot	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
17:34:37	110196/110196	---M--	200	added ('OK')	font/woff	etag:%225e3351db-1ae74%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.woff?v=1.5.54	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/SKR/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.woff	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
17:34:45	1687945/1687945	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225e3351db-19c189%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.svg?v=1.5.54	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/SKR/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.svg	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
17:34:52	178520/178520	---MCZ	200	added ('OK')	font/ttf	etag:W/%225e3351db-2b958%22	http://findmatthew.com/fonts/Raleway-Regular.ttf	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/SKR/findmatthew.com/fonts/Raleway-Regular.ttf	(from http://findmatthew.com/style/style.css)
17:34:52	180492/180492	---MCZ	200	added ('OK')	font/ttf	etag:W/%225e3351db-2c10c%22	http://findmatthew.com/fonts/Raleway-SemiBold.ttf	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/SKR/findmatthew.com/fonts/Raleway-SemiBold.ttf	(from http://findmatthew.com/style/style.css)
17:34:54	222492/222492	---MCZ	200	added ('OK')	font/ttf	etag:W/%225e3351db-3651c%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.ttf?v=1.5.54	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/SKR/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.ttf	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
17:34:59	179244/179244	---MCZ	200	added ('OK')	font/ttf	etag:W/%225e3351db-2bc2c%22	http://findmatthew.com/fonts/Raleway-Bold.ttf	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/SKR/findmatthew.com/fonts/Raleway-Bold.ttf	(from http://findmatthew.com/style/style.css)
17:34:59	28201/28201	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-6e29%22	http://findmatthew.com/img/thumb-8.jpg	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/SKR/findmatthew.com/img/thumb-8.jpg	(from http://findmatthew.com/style/style.css)
17:34:59	43703/43703	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-aab7%22	http://findmatthew.com/img/thumb-7.jpg	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/SKR/findmatthew.com/img/thumb-7.jpg	(from http://findmatthew.com/style/style.css)
17:35:00	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225d322362-247b%22	http://findmatthew.com/img/thumb-10.jpg	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/SKR/findmatthew.com/img/thumb-10.3f.delayed	(from http://findmatthew.com/style/style.css)
17:35:01	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225c41b5c8-247b%22	http://findmatthew.com/img/thumb-11.jpg	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/SKR/findmatthew.com/img/thumb-11.40.delayed	(from http://findmatthew.com/style/style.css)
17:35:02	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225d322362-247b%22	http://findmatthew.com/img/thumb-12.jpg	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/SKR/findmatthew.com/img/thumb-12.41.delayed	(from http://findmatthew.com/style/style.css)
17:35:04	45331/45331	---M--	200	added ('OK')	image/jpeg	etag:%225e3351db-b113%22	http://findmatthew.com/img/thumb-9.jpg	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/SKR/findmatthew.com/img/thumb-9.jpg	(from http://findmatthew.com/style/style.css)
17:35:20	491716/491716	---M--	200	added ('OK')	image/png	etag:%225e3351db-780c4%22	http://findmatthew.com/img/filler.png	C:/Users/SHUBHAM%20SINGH%20RAJPUT/Documents/WebSites/SKR/findmatthew.com/img/filler.png	(from http://findmatthew.com/style/style.css)
